name,hex,r,g,b,h,s,v
pastel red,ff6961,255,105,97,3,62,100
pastel yellow,fdfd96,253,253,150,60,41,99
payne's gray,536878,83,104,120,206,31,47
peach,ffcba4,255,203,164,26,36,100
peach-yellow,fadfad,250,223,173,39,31,98
pearly purple,b768a2,183,104,162,316,43,72
peridot,e6e200,230,226,0,59,100,90
permanent geranium lake,e12c2c,225,44,44,0,80,88
persian blue,1c39bb,28,57,187,229,85,73
persian green,00a693,0,166,147,173,100,65
persian indigo,32127a,50,18,122,258,85,48
persian orange,d99058,217,144,88,26,59,85
persian pink,f77fbe,247,127,190,329,49,97
persian red,cc3333,204,51,51,0,75,80
persimmon,ec5800,236,88,0,22,100,93
peru,cd853f,205,133,63,30,69,80
pewter blue,8ba8b7,139,168,183,200,24,72
philippine blue,0038a7,0,56,167,220,100,65
philippine brown,5d1916,93,25,22,3,76,36
philippine gray,8c8c8c,140,140,140,0,0,55
philippine green,008543,0,133,67,150,100,52
philippine indigo,00416a,0,65,106,203,100,42
philippine orange,ff7300,255,115,0,27,100,100
philippine pink,fa1a8e,255,26,142,330,90,98
philippine red,ce1127,206,17,39,353,92,81
philippine sky blue,0066ff,0,102,255,216,100,100
philippine violet,81007f,129,0,127,301,100,51
philippine yellow,fecb00,254,203,0,48,100,100
phlox,df00ff,223,0,255,292,100,100
phthalo blue,000f89,0,15,137,233,100,54
phthalo green,123524,18,53,36,151,66,21
piggy pink,fddde6,253,221,230,343,13,99
pine green,01796f,1,121,111,175,99,47
pine tree,2a2f23,42,47,35,85,26,18
pineapple,563c0d,86,60,13,39,35,36
pink,ffc0cb,255,192,203,350,25,100
pink lace,ffddf4,255,221,244,319,13,100
pink lavender,d8b2d1,216,178,209,311,18,85
pink-orange,ff9966,255,153,102,20,60,100
pink pearl,e7accf,231,172,207,324,26,91
pink raspberry,980036,152,0,54,339,100,60
pink sherbet,f78fa7,247,143,167,346,42,97
pixie powder,391285,57,18,133,260,87,52
plump purple,5946b2,89,70,178,251,61,70
police blue,374f6b,55,79,107,212,49,42
polished pine,5da493,93,164,147,166,43,64
pomp and power,86608e,134,96,142,290,32,56
popstar,be4f62,190,79,98,350,58,75
portland orange,ff5a36,255,90,54,11,79,100
powder blue,b0e0e6,176,224,230,187,23,90
prilly blue,329cc3,50,156,195,131,142,115
prilly pink,ff40a0,255,64,160,220,240,150
prilly red,ff0040,255,0,64,230,240,120
princess perfume,ff85cf,255,133,207,324,48,100
princeton orange,f58025,245,128,37,26,85,96
prussian blue,003153,0,49,83,205,100,33
psychedelic purple,df00ff,223,0,255,292,100,100
puce,cc8899,204,136,153,345,33,80
puce red,722f37,114,47,55,353,59,45
purple navy,4e5180,78,81,128,236,39,50
purple pizzazz,fe4eda,254,78,218,312,69,100
purple plum,9c51b6,156,81,182,285,56,71
purple taupe,50404d,80,64,77,311,20,31
purpureus,9a4eae,154,78,174,288,55,68
queen blue,436b95,67,107,149,211,55,58
queen pink,e8ccd7,232,204,215,336,12,91
quick silver,a6a6a6,166,166,166,0,0,65
quinacridone magenta,8e3a59,142,58,89,338,59,56
quincy,6a5445,106,84,69,24,35,42
rackley,5d8aa8,93,138,168,204,45,66
raisin black,242124,36,33,36,300,8,14
raw umber,826644,130,102,68,33,48,51
razzmic berry,8d4e85,141,78,133,308,45,55
rebecca purple,663399,102,52,153,270,67,60
red,ff0000,255,0,0,0,100,100
red-brown,a52a2a,165,42,42,0,75,65
red cola,df0118,223,1,24,354,100,87
red devil,860111,134,1,17,353,99,53
red-orange,ff5349,255,83,73,3,71,100
red-purple,e40078,228,0,120,328,100,89
red rum,973a4a,151,58,74,350,62,59
red salsa,fd3a4a,253,58,74,355,77,99
red strawberry,ec0304,236,3,1,0,99,93
red-violet,c71585,199,21,133,322,89,78
registration black,000000,0,0,0,-,0,0
resolution blue,002387,0,35,135,224,100,53
rhythm,777696,119,118,150,242,21,59
rifle green,444c38,68,76,56,84,26,30
ripe mango,ffc324,255,195,36,44,86,100
robin egg blue,00cccc,0,204,204,180,100,80
rocket metallic,8a7f80,138,127,128,355,8,54
root beer,290e05,41,14,5,15,88,16
rose bonbon,f9429e,249,66,158,330,73,98
rose dust,9e5e6f,158,94,111,344,41,62
rose madder,e32636,227,38,54,355,83,89
rose taupe,905d5d,144,93,93,0,35,56
royal blue,002366,0,35,102,219,100,40
royal brown,523b35,82,59,53,12,35,32
royal green,136207,19,98,7,112,93,38
royal orange,f99245,249,146,69,26,72,98
royal pink,e73895,231,56,149,332,78,100
royal red,9b1c31,155,28,49,350,82,61
royal purple,7851a9,120,81,169,267,52,66
royal yellow,fada5e,250,218,94,48,62,98
rufous,a81c07,168,28,7,8,96,66
rum,9a4e40,154,78,64,10,58,60
russian green,679267,103,146,103,120,29,57
russian violet,32174d,50,23,77,270,70,30
rusty red,da2c43,218,44,67,352,80,85
sacramento state green,043927,4,57,39,160,93,22
saddle brown,8b4513,139,69,19,25,86,55
safety orange,ff7800,255,120,0,28,100,100
safety yellow,eed202,238,210,2,53,99,93
st. patrick's blue,23297a,35,41,122,236,71,48
salem,177b4d,23,123,77,152,81,48
salmon rose,e7968b,231,150,139,7,40,91
salmon pink,ff91a4,255,145,164,350,43,100
samsung blue,12279e,18,39,158,231,89,62
sandstorm,ecd540,236,213,64,52,73,93
sandy tan,fdd9b5,253,217,181,30,28,99
sandy taupe,967117,150,113,23,43,85,59
sap green,507d2a,80,125,42,93,66,49
sasquatch socks,ff4681,255,70,129,341,73,100
schauss pink,ff91af,255,145,175,344,43,100
school bus yellow,ffd800,255,216,0,51,100,100
screamin' green,66ff66,102,255,102,120,60,100
sea blue,006994,0,105,148,197,100,58
sea foam green,9fe2bf,195,226,191,149,30,89
sea green,2e8b57,46,139,87,146,67,55
sea serpent,4bc7cf,75,199,207,184,64,81
seal brown,59260b,50,20,20,0,60,20
selective yellow,ffba00,255,186,0,44,100,100
shadow blue,778ba5,119,139,165,214,28,65
shampoo,ffcff1,255,207,241,318,19,100
shamrock green,009e60,0,158,96,156,100,62
shandy,ffe670,255,230,112,50,56,100
sheen green,8fd400,143,212,0,80,100,83
shimmering blush,d98695,217,134,149,349,38,85
shiny shamrock,5fa778,95,167,120,141,43,66
shocking pink,fc0fc0,252,15,192,315,94,99
sienna,882d17,136,45,23,12,83,53
silver pink,c4aead,196,174,173,3,12,77
sinopia,cb410b,203,65,11,17,95,80
sizzling red,ff3855,255,56,85,351,78,100
sizzling sunrise,ffdb00,255,219,0,52,100,100
sky blue,87ceeb,135,206,235,197,43,92
sky magenta,cf71af,207,113,175,320,45,81
slate blue,6a5acd,106,90,205,248,56,80
slate gray,708090,112,128,144,210,22,56
slimy green,299617,41,150,23,111,85,59
smashed pumpkin,ff6d3a,255,109,58,16,77,100
smitten,c84186,200,65,134,329,68,78
smoke,738276,115,130,118,132,12,51
smokey topaz,832a0d,131,42,34,15,90,51
smoky black,100c08,16,12,8,30,50,6
snow,fffafa,255,250,250,0,2,76
solid pink,893843,137,56,67,352,59,54
space cadet,1d2951,29,41,81,226,64,32
spanish bistre,807532,128,117,50,52,61,50
spanish blue,0070b8,0,112,184,203,100,72
spanish crimson,e51a4c,229,26,76,345,89,90
spanish gray,989898,152,152,152,—,0,60
spanish green,009150,0,145,80,153,100,57
spanish orange,e86100,232,97,0,25,100,91
spanish pink,f7bfbe,247,191,190,1,23,97
spanish purple,66033c,102,3,60,325,97,40
spanish red,e60026,230,0,38,350,100,90
spanish sky blue,00ffff,0,255,255,180,100,100
spanish violet,4c2882,76,40,130,264,69,51
spanish viridian,007f5c,0,127,92,163,100,50
spanish yellow,f6b511,246,181,17,43,93,96
spicy mix,8b5f4d,139,95,77,17,45,55
spiro disco ball,0fc0fc,15,192,252,195,94,99
spring bud,a7fc00,167,252,0,80,100,99
spring frost,87ff2a,135,255,42,94,84,100
star command blue,007bb8,0,123,184,200,100,72
steel blue,4682b4,70,130,180,207,61,71
steel pink,cc33cc,204,51,204,300,75,80
steel teal,5f8a8b,95,138,139,181,32,55
stil de grain yellow,fada5e,250,218,94,48,62,98
strawberry,fc5a8d,252,90,141,341,64,99
stop red,cf142b,207,20,43,354,90,81
strawberry iced tea,fc5a8d,252,90,141,341,64,99
strawberry red,c83f49,200,63,73,356,69,78
sugar plum,914e75,145,78,117,325,46,57
sunburnt cyclops,ff404c,255,64,76,356,75,100
sunny,f2f27a,242,242,122,60,50,95
super pink,cf6ba9,207,107,169,323,48,81
sweet brown,a83731,168,55,49,3,71,66
tangerine yellow,ffcc00,255,204,0,48,100,100
tango pink,e4717a,228,113,122,355,50,89
tart orange,fb4d46,251,77,70,2,72,98
taupe,483c32,72,60,50,27,31,28
taupe gray,8b8589,139,133,137,320,4,55
tea green,d0f0c0,208,240,192,100,20,94
tea rose,f88379,248,131,121,5,51,97
teal deer,99e6b3,153,230,179,140,33,90
telemagenta,cf3476,207,52,118,334,75,81
temptress,3c2126,60,33,38,349,45,24
terra cotta,e2725b,226,114,91,10,60,89
tiffany blue,0abab5,10,186,181,178,95,73
timberwolf,dbd7d2,219,215,210,33,4,86
titanium,878681,135,134,129,50,4,53
titanium yellow,eee600,238,230,0,58,100,93
tooth,fffafa,255,250,250,0,2,100
topaz,ffc87c,255,200,124,35,51,100
tropical rain forest,00755e,0,117,94,168,100,46
tropical violet,cda4de,205,164,222,282,26,87
tulip,ff878d,255,135,141,357,47,100
tumbleweed,deaa88,222,170,136,24,39,87
turquoise surf,00c5cd,0,197,205,182,100,80
tuscan,fad6a5,250,214,165,35,34,98
tuscan brown,6f4e37,111,78,55,25,50,44
tuscan red,7c4848,124,72,72,0,42,49
tuscany,c09999,192,153,153,0,20,75
tyrian purple,66023c,102,2,60,325,98,40
ultramarine,3f00ff,18,10,143,244,93,56
ultramarine blue,4166f5,65,102,245,228,73,96
ultra pink,ff6fff,255,111,255,300,56,100
umber,635147,99,81,71,21,28,39
unbleached silk,ffddca,255,221,202,22,21,100
unmellow yellow,ffff66,255,255,102,60,60,100
upsdell red,ae2029,174,32,41,356,82,68
urobilin,e1ad21,225,173,33,44,85,88
vampire black,080808,8,8,8,60,0,3
van dyke brown,664228,102,66,40,25,60,0
vegas gold,c5b358,197,179,88,50,55,77
venetian red,c80815,200,8,21,356,96,78
verdigris,43b3ae,67,179,174,177,63,70
vermilion,e34234,227,66,52,5,77,89
verse green,18880d,24,136,13,115,90,53
very light blue,6666ff,102,102,255,240,60,100
very light malachite green,64e986,100,233,134,135,57,91
very light tangelo,ffb077,255,176,119,25,53,100
very pale orange,ffdfbf,255,223,191,30,25,100
very pale yellow,ffffbf,255,255,191,60,25,100
vine green,38a32a,22,64,16,113,59,40
violet-blue,324ab2,50,74,178,229,72,70
violet-red,f75394,247,83,148,336,66,97
violin brown,674403,103,68,3,39,97,40
viridian,40826d,64,130,109,161,51,51
viridian green,009698,0,150,152,181,100,60
vivid auburn,922724,146,39,36,2,75,57
vivid cerulean,00aaee,0,170,238,197,100,93
vivid crimson,cc0033,204,0,51,345,100,80
vivid gamboge,ff9900,255,153,0,36,100,100
vivid malachite,00cc33,0,204,51,135,100,80
vivid orange,ff5f00,255,95,0,22,100,100
vivid orange peel,ffa000,255,160,0,18,100,100
vivid red,f70d1a,247,13,26,357,95,97
vivid red-tangelo,df6124,223,97,36,20,84,87
vivid sky blue,00ccff,0,204,255,192,100,100
vivid tangelo,f07427,240,116,39,23,84,94
vivid tangerine,ffa089,255,160,137,12,46,100
vivid vermilion,e56024,229,96,36,19,84,90
vivid violet,9f00ff,159,0,255,277,100,100
vivid yellow,ffe302,255,227,2,53,99,100
water,d4f1f9,212,241,249,194,15,98
watermelon,f05c85,240,92,133,343,62,94
watermelon red,bf4147,190,65,71,357,66,75
watermelon yellow,eeff1b,238,255,27,65,90,55
waterspout,a4f4f9,164,244,249,184,34,98
weldon blue,7c98ab,124,152,171,204,28,67
white,ffffff,255,255,255,—,0,100
white coffee,e6e0d4,230,224,212,40,8,90
white smoke,f5f5f5,245,245,245,—,0,96
willpower orange,fd5800,253,88,0,21,100,99
winter sky,ff007c,255,0,124,331,100,100
winter wizard,a0e6ff,160,230,255,196,37,100
wintergreen dream,56887d,86,136,125,167,37,53
wood brown,c19a6b,193,154,107,33,45,76
xanadu,738678,115,134,120,136,14,53
yellow,ffff00,255,255,0,60,100,100
yellow-green,9acd32,154,205,50,80,76,80
yellow rose,fff000,255,240,0,56,100,100
yellow sunshine,fff700,255,247,0,58,100,100
yinmn blue,2e5090,46,80,144,219,68,56
zaffre,0014a8,0,20,168,233,100,66
zebra white,f5f5f5,245,245,245,0,0,96
zinnwaldite brown,2c1608,44,22,8,23,82,17
