name,hex,r,g,b,h,s,v
chinese green,d0db61,208,219,97,65,56,86
chinese orange,f37042,243,112,66,16,73,95
chinese pink,de70a1,222,112,161,333,50,87
chinese purple,720b98,114,11,152,284,93,60
chinese red,cd071e,205,7,30,353,97,80
chinese violet,856088,133,96,136,296,29,53
chinese white,e2e5de,226,229,222,86,3,90
chinese yellow,ffb200,255,178,0,42,100,100
chlorophyll green,4aff00,74,255,0,103,100,100
chocolate brown,3f000f,63,0,15,346,100,25
chocolate kisses,3c1421,60,20,33,341,67,33
chrome yellow,ffa700,255,167,0,39,100,100
cinereous,98817b,152,129,123,12,19,60
cinnabar,e34234,227,66,52,5,77,89
cinnamon,d2691e,210,105,30,25,86,82
cinnamon satin,cd607e,205,96,126,343,53,80
cobalt blue,0047ab,0,71,171,215,100,67
coconut,965a3e,150,90,62,19,59,59
cola,3c3024,60,48,36,30,40,24
columbia blue,c4d8e2,196,216,226,200,13,89
congo pink,f88379,248,131,121,5,51,97
cool black,002e63,0,46,99,212,100,38
cool gray,8c92ac,140,146,172,229,19,67
cookies and cream,eee0b1,238,224,177,46,26,93
coquelicot,ff3800,255,56,0,13,100,100
coral reef,fd7c6e,253,124,110,6,57,99
cornell red,b31b1b,179,27,27,0,85,70
cornflower blue,6495ed,100,149,237,219,58,93
cornflower,93ccea,1,159,222,197,100,87
cornsilk,fff8dc,255,248,220,48,14,100
cosmic cobalt,2e2d88,46,45,136,241,67,53
cosmic latte,fff8e7,255,248,231,43,9,100
coyote brown,81613c,129,97,60,62,52,51
cotton candy,ffbcd9,255,188,217,334,26,100
crimson,dc143c,220,20,60,348,91,86
crimson glory,be0032,190,0,50,344,100,75
crimson red,990000,153,0,0,0,100,60
cultured,f5f5f5,245,245,245,0,0,96
cyan,00ffff,0,255,255,180,100,100
cyan azure,4e82b4,78,130,180,209,57,71
cyan-blue azure,4682bf,70,130,191,210,63,75
cyan cobalt blue,28589c,40,88,156,215,74,61
cyan cornflower blue,188bc2,24,139,194,199,88,76
cyber grape,58427c,88,66,124,263,47,49
cyber yellow,ffd300,255,211,0,50,100,100
daffodil,ffff31,255,255,49,60,81,100
dandelion,f0e130,240,225,48,55,80,94
dark blue,00008b,0,0,139,240,100,55
dark blue-gray,666699,102,102,153,240,33,60
dark brown,654321,101,67,33,30,67,40
